title,company,location,date,summary,url
CASA Research Chair in Child & Adolescent Psychiatry,University of Alberta,"Edmonton, AB",22 days ago,Preference will be given to clinician scientists who are currently working in Child & Adolescent psychiatry. The Research Chair is a full-time contingent tenure...,https://www.indeed.ca//rc/clk?jk=66d7712d50592218&fccid=09ac3ce4d9d271d1&vjs=3
Speech/Data Scientist,Nuance,"Montréal, QC",8 days ago,Knowledge of statistical data analysis. Passionate about analyzing data to solve problems and improve systems. Company Overview / Présentation de l’entreprise:....,https://www.indeed.ca//pagead/clk?mo=r&ad=-6NYlbfkN0Bzin9QUkjw5S3uZgWvqXu5YKbu1M0ccIXCVaLi4ulGCsDq852yg6XJXtKDIAdbbKx8WaN0dQbyKlm-CTZKl8e-Q3y2yaIwuVGDUANRrIFlZJHU8OauDffMUij4N0Gd5wxQWGOOaBnDOyonPJOenOeqDyfdAzhpx5-6waq3oYjVkRIe5w0SZtAxrPEJeVT51lwjeIz3e7pS5XaOFZRxdIVFPYHyLa-i6oXr04TzluoXS-Vxx0nmctSgMA1B79zh7Ak9qUd4hLt9EZ-58HH1j5vbapxe8jMPAJ-xLNgAXQMFQjorDyfxZH2xF8JegEKkmuFBYTARYqmDn90kbcRv3-nbjARJmNMBm8M8nlBv3uwrYwSLhwGUjmPiJSfQ7tQmdl4L3hEiAkhKkTG4nQAACILaWEz8GSHhnMG359fFH0cmIVqBkecjChQ2QmU1YkdIzw9hl01Q5KXZ0gwYaG0HY0NwoqFrjhyH23ltFom16dUf6Vo-dUEmOzlt_NTyEdrwF0htOjWcHcDor7FbF2S1-yj6xXqz8KDsEFPH2TmWkobkBI9zXssb0hcLBhlTgP8B_uO4Hfwa3dGrOd-nkR4GHHId2JrxO9HF4fJBAFc3X0WrEaji01dXRZd-&p=0&fvj=0&vjs=3
Data Analyst & Reporting Specialist,StorageVault Canada Inc.,"Montréal, QC",3 hours ago,1-2 years experience as a data scientist or data analyst. Pull & analyze data from various sources to drive insight....,https://www.indeed.ca//pagead/clk?mo=r&ad=-6NYlbfkN0BWeIyX-apIGI9asRX8CvtwpLSfgIWguRLfoR40Ldyv2wW2d9pH1Dmizys6a0pAajMNJHO43jsTlhJvxWk8IeL5wtbWxto8j8l-112dwMxskFZr9NaGatwtaZoZiYo9WkspYr98YpPvyXiTe0N7zn_cKiqWU0rNqzTSuFjP0R5FzmIiTkc5-3B669JGxUlw0gU7zpLUpw5U2aboc9KqwRdm7JJ_1rtUY8LDALOAEPdE93wyss7jj2OX1jbSzwq_6DN1NLHPJSZ3imqOx0eytuWwwC_-H8SR14Avuc97L0joBYzlwCNkRBxYl52h_6YeeyU5qUSZFAHzR_0MaYnL6I7I2bR407wDAnhdrd5r59AV_dCt6FNoBoYMXxRGkP3TN7L3g0LEz_pNM-U0zqGAhk_FNpuyiJdLObhFAAPLoit9MYe_drHAmntpii9xVjmJZVk=&p=1&fvj=1&vjs=3
Data Scientist - Machine Learning Specialist,Groom & Associes,"Montréal, QC",3 days ago,"Data Scientist – Machine Learning Specialist. As a Machine Learning Specialist - Data Scientist, you will need to have strong programming skills and strong...",https://www.indeed.ca//pagead/clk?mo=r&ad=-6NYlbfkN0BJik0eOC2RiRcwALxZHhvolY0CiBGpIrD3jqHmT6hgcj9GGUq3nwzxcDRn3ID9hoVs-T9pJvKgdcjqfxy4PuTkMKy94IHDQAEhzTdy-zvnV1tIAHbSJ2HeJ0K08eYlpa92dke4bsEJ-nWdZ3ej2fVrgc0rZPzhINKfAGQEEyOZZCOJS02lo9YMU2BQeaGPXk1wcamMHIWUMMLgxmNrzX-krcXci1wRHa1gona0Yet7x3_UB5x2wZfQDYvNCX7QUFp0hKaNPrULbACinVXagxGGoQx8vHt1OkEJgJpai6ikJ9oSPCcrftcijH1_YB0NIDoiCn6bK-VrtV3VCzQtzADq68-bV9Yqe1pGdtC-m723IfIFsjG-k4yZRwt7m3NPdE5bXoND3vt0T9g5YdNb9Gc-gujQgP4isl2OmQrjltXj0KYZczOCSCBqc-voE4nz_lafgUX8pNpP7Bhx9t4roUv_iRFJ-WPCNy5Nm2tnYlt2z9Ams-ezQmDvmCCwdBIJbjdcP6mqaOBQ4znbOeUdxyv7xinOY5WGCYc6A8zemalLeq_QyY1YlGv-ZHUS4G-brPk=&p=2&fvj=0&vjs=3
Environmental Scientist,ERA Environmental Management Solutions,"Montréal, QC",16 days ago,"Data entry:. Environmental Scientist – Entry Level Position. Our software is created by inventive, passionate environmental scientists....",https://www.indeed.ca//pagead/clk?mo=r&ad=-6NYlbfkN0ApSHlqJjtjFIJNlzYf5NpZsaYJ7eB6tgmEd_HePLBCNiO-UUpd450ebfMrv4MscHp840wUzLJlF2BzazHVpPhpXVzee7ALbs5jFWBTG26eYlVTfWg2W1e_4HZGZfnZkMz605XzGUnz1vLkTce3QtI3bf_Xaa_6kAL6fI-dRehXIJQsejOVHuggbg_6ST4ZyUw_G1OPJHfz3BeW7tobF0-SulNeX3hU7O9JyDMZMwCRR6zZObdPTFffKUNv7y0AK9rbkFJQLXshx7duQZTMo9AsS_N2IBOwHX1F8gZlHyKafmeQltRghmRNw16MqlkFHEI2v84X7vPqUuvoOeYCthfEKeO9WjOu9Q3V1zg2uS5T7TfRCP9odrR8TB0aahpOMuzyEOu26HzE9FtBkDITLEBuY2VbWKHXkbuKFsPtbiHEj3HZJkhiOu84b6t-IBNmy_U=&p=3&fvj=1&vjs=3
Network Analytics,Kaloom,"Montréal, QC",18 days ago,"Design and implement a robust and maintainable solution for network data collection, aggregation, analysis, and presentation....",https://www.indeed.ca//pagead/clk?mo=r&ad=-6NYlbfkN0DNIqPVqAL45Rp5c5Bpe4o16nUTbyMyHaPy_Kp2X5ODOxRIK6Brbgcq2HNtzpqnb1bAR_kUsgvHRb94hTp_JcL1Eg_Tcdsut_qb5rFWwzkPcDgVildjFZHOkOzde9Pl9WdpqH-sxFY61CeG8xPNQfi4V787PctYC8ShuEkVaYLmqwLjgxFJgutWIQ_QH8VVjz5x8TZKsJTN1dc-iFDfK_5VYOV5WAVuc0rFpfZkn5D1dJtYdugJ2LsecoHAkvReMCq3Zv72huOtMXxH_F9adjzut0yHDHtOcAMuTP2NKxJVoEyvzEDgPBQ4D72V1bz4ffP2A-t8H3E9XSITVczW5h76WyxYpOoEpYJznRhqQYOOoJNs08oq3SwINZxaCfL-qGncc_quZFR1wRVOf-zUz-pLQeuNAV-eX0B0ThjGPK7wHcxRmzJMCaQUpXbKGPiKcIg=&p=4&fvj=1&vjs=3
Data Scientist,SPORTLOGiQ,"Montréal, QC",17 days ago,"As a Data Scientist, you will be a part of our highly talented research team, building our next generation advanced sport analytics platform....",https://www.indeed.ca//pagead/clk?mo=r&ad=-6NYlbfkN0AAp_mjGmWhN-vjwKGW2WFcpAvV1GQnDy6Bm2NLvvhH2zqrTegwsusm3Vl1XZFrtclIfDbcgHXzCBc1TBGfxSxSdD-K9Ncl_kDEgXFj3Z1W8EmDDxMYwhygD347mtdusfkKNbNJ9stt1te9_Y9a_cEOHys_s2oYFzyRJGRrnwvvAeuz0sR6wfz_NX7VeGEKAr5Z32FRSTjDg3FtdKvZWt76kX9Q0fLfBjKe8X0suU8QNdAgTMmusR4mfVUWg7AXdYW1sPhfxDiKLbK6H93w933YGzwhtI-Ln4QAsS2WhD_VQy-1qJ3UkYLJd2aN0EwruZACGffRAPKqXy7lPxgvdvgi5REXgMfSpi-5ilxzKuuNUn8J51OYO3XkBJOAdCHyaNy9Spl_YzJwkLrjYBte-etJ9AW6UsDYxXTc1l_8HoRR0g==&p=5&fvj=1&vjs=3
Machine Learning Scientist (Manager at Venture-Funded Startup),TandemLaunch,"Montréal, QC",16 days ago,We are looking for a Data Scientist interested in an early-career management role with either of these backgrounds:....,https://www.indeed.ca//pagead/clk?mo=r&ad=-6NYlbfkN0DDQ-wXDbja-50zJ4JYNsdB49_0PzS5kX4A_9dj3-qMVUvm2WfMTYngRGi_YmBmFyTeGdcIdG068gY1fxXZs_IzXH9FjObbqs1MVxv1iGlV1idLPn5n7zfd4n00w0F2CeExfxofdektbXoI10_eYH9saFSdXy6Je9yMUI9c5uG_7hlJEOUjKz1ixbWzB5d3EFGeu5PsYJvGa187Ixlj986cnu1go_p3AZoqJuboDIp4AGbNVE34YshWdLCKrtxoUV3lz0AOvrtWUg8Ze0YTfFMSUpeXcUh0Si7fUSFyphN9hX2GwwHw42W6np8KljPfsDUJs2OjsMvfTSWg76hlsO43zx86NvOLeugvHfx8ThtAE_09JTICxj78AXNAt7qiXULg-Hp100FpG5i4otM-Dv6yhvxht_noS8AFFjOaxib4sGwxL_hFsaGzZXkfjdQP6aELmROCO6AExuPWqpgeMRaz6dIce0AaKJwVj1mbTq8AcQ==&p=6&fvj=1&vjs=3
Data Scientist Developer - Intern,Audela,"Montréal, QC",30+ days ago,"You’re excited to see how you can apply machine learning algorithm to Terabytes of data? If you want your internship to be about a real Data scientist’s job, if...",https://www.indeed.ca//rc/clk?jk=34bf189deaf5f032&fccid=f4192e011d4633ca&vjs=3
Data Scientist/Artificial Intelligence Expert,McGill University Health Centre,"Montréal, QC",11 days ago,The AIPHL lab of McGill University Health Center and Department of radiology is looking for a data scientist as part of a multi-disciplinary clinical team for...,https://www.indeed.ca//rc/clk?jk=e2403e7edfa48467&fccid=367ae0b0728910f4&vjs=3
